,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4,Weight,Height,Label
0,3070,3288,0,3483,827,95,558,28,83,185,4
1,3077,3287,0,3418,829,95,561,32,83,185,4
2,3088,3294,0,3278,829,93,564,32,83,185,4
3,3089,3220,0,2759,826,94,524,28,83,185,4
4,3121,3089,0,2587,788,94,464,25,83,185,4
5,3233,2881,0,2767,834,93,482,20,83,185,4
6,3263,631,0,2771,828,98,484,27,83,185,4
7,3273,0,0,2781,836,95,483,28,83,185,4
8,3302,0,0,2933,836,94,476,30,83,185,4
9,3378,0,0,3067,855,92,467,32,83,185,4
10,3447,0,0,3071,891,90,436,31,83,185,4
11,3509,0,0,3156,905,89,421,32,83,185,4
12,3504,0,0,3138,905,91,426,26,83,185,4
13,3500,0,0,3200,906,95,433,26,83,185,4
14,3472,0,0,3219,905,90,430,33,83,185,4
15,3498,0,0,3254,907,89,427,32,83,185,4
16,3537,0,0,3293,912,89,410,33,83,185,4
17,3562,0,0,3289,914,89,392,34,83,185,4
18,3568,0,0,3281,917,88,393,33,83,185,4
19,3568,0,0,3248,915,88,384,33,83,185,4
20,3593,0,0,3261,915,90,391,29,83,185,4
21,3595,0,0,3296,913,88,433,30,83,185,4
22,3574,0,0,3298,912,86,438,30,83,185,4
23,3590,0,0,3258,914,86,443,30,83,185,4
24,3557,0,0,3257,910,86,440,29,83,185,4
25,3559,0,0,3245,911,91,439,29,83,185,4
26,3553,0,0,3218,904,90,458,29,83,185,4
27,3489,0,0,3215,880,88,453,28,83,185,4
28,3491,0,0,3172,879,94,463,32,83,185,4
29,3507,0,0,3210,883,95,460,29,83,185,4
30,3522,0,0,3247,887,91,450,29,83,185,4
31,3527,0,0,3392,892,94,443,26,83,185,4
32,3541,0,0,3392,898,94,429,27,83,185,4
33,3541,0,0,3350,896,95,451,27,83,185,4
34,3536,0,0,3296,894,95,454,30,83,185,4
35,3523,0,0,3292,894,93,463,31,83,185,4
36,3507,0,0,3342,892,94,458,31,83,185,4
37,3509,0,0,3357,891,90,462,31,83,185,4
38,3504,0,0,3341,893,93,464,31,83,185,4
39,3489,0,0,3335,891,96,466,32,83,185,4
40,3486,0,0,3341,892,96,468,35,83,185,4
41,3501,0,0,3323,893,94,469,37,83,185,4
42,3501,0,0,3378,894,93,474,38,83,185,4
43,3491,0,0,3408,892,96,479,34,83,185,4
44,3479,0,0,3407,888,99,476,36,83,185,4
45,3454,0,0,3403,885,100,479,36,83,185,4
46,3463,0,0,3411,883,97,479,37,83,185,4
47,3458,0,0,3376,883,96,470,35,83,185,4
48,3455,0,0,3405,881,93,477,35,83,185,4
49,3444,0,0,3377,880,91,470,32,83,185,4
50,3451,0,0,3402,880,91,479,31,83,185,4
51,3449,0,0,3409,880,93,479,31,83,185,4
52,3430,0,0,3402,878,91,478,31,83,185,4
53,3434,0,0,3425,878,73,472,31,83,185,4
54,3421,0,0,3434,877,80,479,31,83,185,4
55,3431,0,0,3412,877,78,482,31,83,185,4
56,3433,0,0,3377,879,79,485,32,83,185,4
57,3413,0,0,3387,879,83,484,31,83,185,4
58,3422,0,0,3424,881,80,474,30,83,185,4
59,3413,0,0,3440,882,77,482,29,83,185,4
60,3429,0,0,3448,883,81,484,27,83,185,4
61,3423,0,0,3440,881,72,485,28,83,185,4
62,3419,0,0,3449,882,73,471,28,83,185,4
63,3433,0,0,3440,886,72,445,29,83,185,4
